start_date,end_date,recovery_date,duration_days,recovery_days,max_drawdown,max_drawdown_pct,peak_equity,trough_equity
2024-04-04,2024-04-24,,20,20,3878.84,3.7348,103856.73,99977.89
2024-04-24,2024-04-24,,0,0,2.6,0.0025,103876.57,103873.97
2024-04-24,2024-07-24,,91,91,3943.45,3.7952,103906.47,99963.02
2024-07-24,2024-07-30,,6,6,0.21,0.0002,103932.8,99952.87
2024-07-30,2024-11-15,,108,108,11.1,0.0107,103937.38,99927.81
2024-11-15,2025-07-31,,258,258,9.03,0.0087,103939.84,99806.83
2025-07-31,2025-07-31,,0,0,0.0,0.0,103941.7,103918.93
2025-07-31,,,183,0,4035.36,3.8822,103945.33,99833.38
