month,pnl,pnl_pct
2024-02,0.0,0.0
2024-03,0.0,0.0
2024-04,-33.98,-0.034
2024-05,0.0,0.0
2024-06,0.0,0.0
2024-07,-21.44,-0.0214
2024-08,0.0,0.0
2024-09,0.0,0.0
2024-10,0.0,0.0
2024-11,-74.53,-0.0745
2024-12,-2.46,-0.0025
2025-01,-46.76,-0.0468
2025-02,78.35,0.0783
2025-03,39.53,0.0395
2025-04,-42.0,-0.042
2025-05,43.63,0.0436
2025-06,1.84,0.0018
2025-07,42.8,0.0428
2025-08,7.25,0.0072
2025-09,-53.57,-0.0536
2025-10,-49.94,-0.0499
2025-11,3.56,0.0036
2025-12,53.7,0.0537
2026-01,0.0,0.0
