date,net_pnl,return_pct,trades_taken,trades_won,trades_lost,win_rate,gross_pnl,commissions,starting_equity,ending_equity,max_drawdown,max_drawdown_pct,market_regime
2024-02-08,0.0,0.0,0,0,0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,
2024-02-09,0.0,0.0,0,0,0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,
2024-02-12,0.0,0.0,0,0,0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,
2024-02-13,0.0,0.0,0,0,0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,
2024-02-14,0.0,0.0,0,0,0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,
2024-02-15,0.0,0.0,0,0,0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,
2024-02-16,0.0,0.0,0,0,0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,
2024-02-20,0.0,0.0,0,0,0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,
2024-02-21,0.0,0.0,0,0,0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,
2024-02-22,0.0,0.0,0,0,0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,
2024-02-23,0.0,0.0,0,0,0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,
2024-02-26,0.0,0.0,0,0,0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,
2024-02-27,0.0,0.0,0,0,0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,
2024-02-28,0.0,0.0,0,0,0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,
2024-02-29,0.0,0.0,0,0,0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,
2024-03-01,0.0,0.0,0,0,0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,
2024-03-04,0.0,0.0,0,0,0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,
2024-03-05,0.0,0.0,0,0,0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,
2024-03-06,0.0,0.0,0,0,0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,
2024-03-07,0.0,0.0,0,0,0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,
2024-03-08,0.0,0.0,0,0,0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,
2024-03-11,0.0,0.0,0,0,0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,
2024-03-12,0.0,0.0,0,0,0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,
2024-03-13,0.0,0.0,0,0,0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,
2024-03-14,0.0,0.0,0,0,0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,
2024-03-15,0.0,0.0,0,0,0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,
2024-03-18,0.0,0.0,0,0,0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,
2024-03-19,0.0,0.0,0,0,0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,
2024-03-20,0.0,0.0,0,0,0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,
2024-03-21,0.0,0.0,0,0,0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,
2024-03-22,0.0,0.0,0,0,0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,
2024-03-25,0.0,0.0,0,0,0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,
2024-03-26,0.0,0.0,0,0,0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,
2024-03-27,0.0,0.0,0,0,0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,
2024-03-28,0.0,0.0,0,0,0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,
2024-04-01,0.0,0.0,0,0,0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,
2024-04-02,0.0,0.0,0,0,0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,
2024-04-03,0.0,0.0,0,0,0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,
2024-04-04,25.87,3.853,1,1,0,100.0,26.87,1.0,100000.0,103852.99,0.0,0.0,
2024-04-05,-45.97,-3.7313,1,0,1,0.0,-44.97,1.0,103852.99,99977.89,0.0,0.0,
2024-04-08,0.0,0.0,0,0,0,0.0,0.0,0.0,99977.89,99977.89,0.0,0.0,
2024-04-09,0.0,0.0,0,0,0,0.0,0.0,0.0,99977.89,99977.89,0.0,0.0,
2024-04-10,0.0,0.0,0,0,0,0.0,0.0,0.0,99977.89,99977.89,0.0,0.0,
2024-04-11,0.0,0.0,0,0,0,0.0,0.0,0.0,99977.89,99977.89,0.0,0.0,
2024-04-12,0.0,0.0,0,0,0,0.0,0.0,0.0,99977.89,99977.89,0.0,0.0,
