id,symbol,direction,entry_time,exit_time,entry_price,exit_price,quantity,net_pnl,pnl_percent,gross_pnl,commission,slippage,duration_minutes,bars_held,max_adverse_excursion,max_favorable_excursion,exit_reason,signal_confidence,market_regime
T-00001,SMCI,SHORT,2025-01-16T15:55:00,2025-01-17T09:30:00,31.1144,31.4546,64,-22.77,-1.1436,-21.77,1.0,1.01,1055,1,43.88,0.0,Stop loss hit,0.58,TREND_DOWN
T-00002,SMCI,SHORT,2025-01-29T13:00:00,2025-01-29T14:40:00,27.7561,28.1984,72,-32.84,-1.6434,-31.84,1.0,1.01,100,20,36.28,10.52,Stop loss hit,0.58,TREND_DOWN
T-00003,SMCI,SHORT,2025-01-31T15:00:00,2025-01-31T15:55:00,28.5057,28.5243,70,-2.3,-0.1151,-1.3,1.0,1.0,55,11,13.6,6.0,End of day,0.58,TREND_DOWN
