start_date,end_date,recovery_date,duration_days,recovery_days,max_drawdown,max_drawdown_pct,peak_equity,trough_equity
2024-01-24,2024-01-24,,0,0,7.36,0.0071,103953.48,103946.12
2024-01-24,2024-03-08,,44,44,3950.41,3.8001,103956.04,100005.63
2024-03-08,2024-03-08,,0,0,1.76,0.0017,103982.12,103980.36
2024-03-08,2024-03-08,,0,0,4.18,0.004,103992.46,103988.28
2024-03-08,2024-03-08,,0,0,0.88,0.0008,103999.06,103972.22
2024-03-08,2024-03-08,,0,0,1.76,0.0017,104019.3,104001.48
2024-03-08,,,298,0,4128.59,3.9686,104031.84,99903.25
