date,net_pnl,return_pct,trades_taken,trades_won,trades_lost,win_rate,gross_pnl,commissions,starting_equity,ending_equity,max_drawdown,max_drawdown_pct,market_regime
2024-09-27,0.0,0.0,0,0,0,0.0,0.0,0.0,99315.05,99315.05,0.0,0.0,
2024-09-30,3.62,0.0026,1,1,0,100.0,4.62,1.0,99315.05,99317.67,0.0,0.0,
2024-10-01,-32.9,-0.0351,2,0,2,0.0,-30.9,2.0,99317.67,99282.76,0.0,0.0,
2024-10-02,1.19,0.0002,1,1,0,100.0,2.19,1.0,99282.76,99282.95,0.0,0.0,
2024-10-03,-24.45,-0.0266,2,0,2,0.0,-22.45,2.0,99282.95,99256.5,0.0,0.0,
2024-10-04,0.0,0.0,0,0,0,0.0,0.0,0.0,99256.5,99256.5,0.0,0.0,
2024-10-07,7.62,0.0067,1,1,0,100.0,8.62,1.0,99256.5,99263.12,0.0,0.0,
2024-10-08,0.0,0.0,0,0,0,0.0,0.0,0.0,99263.12,99263.12,0.0,0.0,
2024-10-09,10.36,0.0084,2,1,1,50.0,12.36,2.0,99263.12,99271.48,0.0,0.0,
2024-10-10,0.0,0.0,0,0,0,0.0,0.0,0.0,99271.48,99271.48,0.0,0.0,
2024-10-11,-16.7,-0.0198,3,1,2,33.33,-13.7,3.0,99271.48,99251.78,0.0,0.0,
2024-10-14,2.57,0.0006,2,2,0,100.0,4.57,2.0,99251.78,99252.35,0.0,0.0,
2024-10-15,0.0,0.0,0,0,0,0.0,0.0,0.0,99252.35,99252.35,0.0,0.0,
2024-10-16,5.55,0.0046,1,1,0,100.0,6.55,1.0,99252.35,99256.9,0.0,0.0,
2024-10-17,-7.7,-0.0088,1,0,1,0.0,-6.7,1.0,99256.9,99248.2,0.0,0.0,
2024-10-18,0.0,0.0,0,0,0,0.0,0.0,0.0,99248.2,99248.2,0.0,0.0,
2024-10-21,0.0,0.0,0,0,0,0.0,0.0,0.0,99248.2,99248.2,0.0,0.0,
2024-10-22,12.64,0.0117,1,1,0,100.0,13.64,1.0,99248.2,99259.84,0.0,0.0,
2024-10-23,-8.44,-0.0095,1,0,1,0.0,-7.44,1.0,99259.84,99250.4,0.0,0.0,
2024-10-24,-9.65,-0.0107,1,0,1,0.0,-8.65,1.0,99250.4,99239.75,0.0,0.0,
2024-10-25,-10.62,-0.0117,1,0,1,0.0,-9.62,1.0,99239.75,99228.14,0.0,0.0,
2024-10-28,0.0,0.0,0,0,0,0.0,0.0,0.0,99228.14,99228.14,0.0,0.0,
2024-10-29,0.0,0.0,0,0,0,0.0,0.0,0.0,99228.14,99228.14,0.0,0.0,
2024-10-30,-13.44,-0.0145,1,0,1,0.0,-12.44,1.0,99228.14,99213.7,0.0,0.0,
2024-10-31,21.21,0.0204,1,1,0,100.0,22.21,1.0,99213.7,99233.91,0.0,0.0,
2024-11-01,0.0,0.0,0,0,0,0.0,0.0,0.0,99233.91,99233.91,0.0,0.0,
2024-11-04,2.75,0.0018,1,1,0,100.0,3.75,1.0,99233.91,99235.65,0.0,0.0,
2024-11-05,0.0,0.0,0,0,0,0.0,0.0,0.0,99235.65,99235.65,0.0,0.0,
2024-11-06,0.0,0.0,0,0,0,0.0,0.0,0.0,99235.65,99235.65,0.0,0.0,
2024-11-07,-0.66,-0.0017,1,0,1,0.0,0.34,1.0,99235.65,99233.99,0.0,0.0,
2024-11-08,-2.66,-0.0037,1,0,1,0.0,-1.66,1.0,99233.99,99230.33,0.0,0.0,
2024-11-11,0.0,0.0,0,0,0,0.0,0.0,0.0,99230.33,99230.33,0.0,0.0,
2024-11-12,-10.43,-0.0115,1,0,1,0.0,-9.43,1.0,99230.33,99218.9,0.0,0.0,
2024-11-13,0.0,0.0,0,0,0,0.0,0.0,0.0,99218.9,99218.9,0.0,0.0,
2024-11-14,0.0,0.0,0,0,0,0.0,0.0,0.0,99218.9,99218.9,0.0,0.0,
2024-11-15,-2.72,-0.0037,1,0,1,0.0,-1.72,1.0,99218.9,99215.18,0.0,0.0,
2024-11-18,-6.83,-0.0079,1,0,1,0.0,-5.83,1.0,99215.18,99207.35,0.0,0.0,
2024-11-19,-10.63,-0.0117,1,0,1,0.0,-9.63,1.0,99207.35,99195.73,0.0,0.0,
2024-11-20,-13.79,-0.0149,1,0,1,0.0,-12.79,1.0,99195.73,99180.94,0.0,0.0,
2024-11-21,0.0,0.0,0,0,0,0.0,0.0,0.0,99180.94,99180.94,0.0,0.0,
2024-11-22,0.0,0.0,0,0,0,0.0,0.0,0.0,99180.94,99180.94,0.0,0.0,
2024-11-25,-10.17,-0.0113,1,0,1,0.0,-9.17,1.0,99180.94,99169.77,0.0,0.0,
2024-11-26,0.0,0.0,0,0,0,0.0,0.0,0.0,99169.77,99169.77,0.0,0.0,
2024-11-27,0.0,0.0,0,0,0,0.0,0.0,0.0,99169.77,99169.77,0.0,0.0,
2024-11-29,0.0,0.0,0,0,0,0.0,0.0,0.0,99169.77,99169.77,0.0,0.0,
2024-12-02,0.0,0.0,0,0,0,0.0,0.0,0.0,99169.77,99169.77,0.0,0.0,
2024-12-03,0.0,0.0,0,0,0,0.0,0.0,0.0,99169.77,99169.77,0.0,0.0,
2024-12-04,0.0,0.0,0,0,0,0.0,0.0,0.0,99169.77,99169.77,0.0,0.0,
2024-12-05,0.0,0.0,0,0,0,0.0,0.0,0.0,99169.77,99169.77,0.0,0.0,
2024-12-06,7.68,0.0067,1,1,0,100.0,8.68,1.0,99169.77,99176.45,0.0,0.0,
2024-12-09,-4.89,-0.0059,1,0,1,0.0,-3.89,1.0,99176.45,99170.56,0.0,0.0,
2024-12-10,0.0,0.0,0,0,0,0.0,0.0,0.0,99170.56,99170.56,0.0,0.0,
2024-12-11,-6.34,-0.0074,1,0,1,0.0,-5.34,1.0,99170.56,99163.22,0.0,0.0,
2024-12-12,0.0,0.0,0,0,0,0.0,0.0,0.0,99163.22,99163.22,0.0,0.0,
2024-12-13,0.0,0.0,0,0,0,0.0,0.0,0.0,99163.22,99163.22,0.0,0.0,
2024-12-16,0.0,0.0,0,0,0,0.0,0.0,0.0,99163.22,99163.22,0.0,0.0,
2024-12-17,0.0,0.0,0,0,0,0.0,0.0,0.0,99163.22,99163.22,0.0,0.0,
2024-12-18,-3.48,-0.0055,2,1,1,50.0,-1.48,2.0,99163.22,99157.73,0.0,0.0,
2024-12-19,-21.45,-0.0226,1,0,1,0.0,-20.45,1.0,99157.73,99135.28,0.0,0.0,
2024-12-20,16.4,0.0155,1,1,0,100.0,17.4,1.0,99135.28,99150.67,0.0,0.0,
2024-12-23,3.92,0.0029,1,1,0,100.0,4.92,1.0,99150.67,99153.59,0.0,0.0,
2024-12-24,0.0,0.0032,0,0,0,0.0,0.0,0.0,99153.59,99156.8,0.0,0.0,
2024-12-26,9.87,0.0047,2,1,1,50.0,11.87,2.0,99156.8,99161.46,0.0,0.0,
2024-12-27,-10.03,-0.0111,1,0,1,0.0,-9.03,1.0,99161.46,99150.43,0.0,0.0,
2024-12-30,-19.87,-0.021,1,0,1,0.0,-18.87,1.0,99150.43,99129.56,0.0,0.0,
2024-12-31,-8.9,0.0,1,0,1,0.0,-7.9,1.0,99129.56,99129.56,0.0,0.0,
