================================================================================
IBKR 10-Year 5-Minute Bar Data Downloader
================================================================================
Symbols:    SPY, QQQ, AAPL, NVDA, MSFT, SMCI, IWM, HYG, LQD, TLT, GLD
Date range: 2016-01-01 to 2026-02-25
Port:       4002
Client ID:  55
Sleep:      11.0s between requests
Resume:     True
Cache dir:  /Users/mahimnpatel/Documents/Dev/randomThings/data/cache
Manifest:   /Users/mahimnpatel/Documents/Dev/randomThings/data/download_manifest.json

Download plan: 5830 chunks remaining out of 5830 total
Estimated time: 17h 48m 50s

  [61/5830] AAPL chunk 7/530 | 1494 bars | ETA: 17h 53m 22s
  [62/5830] NVDA chunk 6/530 | 1554 bars | ETA: 17h 53m 14s
  [63/5830] MSFT chunk 6/530 | 1554 bars | ETA: 17h 53m 01s
  [64/5830] SMCI chunk 6/530 | 1554 bars | ETA: 17h 52m 47s
  [65/5830] IWM chunk 6/530 | 1554 bars | ETA: 17h 52m 32s
  [66/5830] HYG chunk 6/530 | 1554 bars | ETA: 17h 52m 19s
  [67/5830] LQD chunk 6/530 | 1554 bars | ETA: 17h 52m 07s
  [68/5830] TLT chunk 6/530 | 1554 bars | ETA: 17h 51m 55s
  [69/5830] GLD chunk 6/530 | 1554 bars | ETA: 17h 51m 43s
  [70/5830] SPY chunk 8/530 | 1824 bars | ETA: 17h 51m 29s
  [71/5830] QQQ chunk 8/530 | 1824 bars | ETA: 17h 51m 16s
  [72/5830] AAPL chunk 8/530 | 1824 bars | ETA: 17h 51m 02s
  [73/5830] NVDA chunk 7/530 | 1806 bars | ETA: 17h 50m 48s
  [74/5830] MSFT chunk 7/530 | 1806 bars | ETA: 17h 50m 35s
  [75/5830] SMCI chunk 7/530 | 1806 bars | ETA: 17h 50m 22s
  [76/5830] IWM chunk 7/530 | 1806 bars | ETA: 17h 50m 11s
  [77/5830] HYG chunk 7/530 | 1806 bars | ETA: 17h 49m 58s
  [78/5830] LQD chunk 7/530 | 1806 bars | ETA: 17h 49m 47s
  [79/5830] TLT chunk 7/530 | 1806 bars | ETA: 17h 49m 36s
  [80/5830] GLD chunk 7/530 | 1806 bars | ETA: 17h 49m 47s
  [81/5830] SPY chunk 9/530 | 2076 bars | ETA: 17h 49m 34s
  [82/5830] QQQ chunk 9/530 | 2076 bars | ETA: 17h 49m 20s
  [83/5830] AAPL chunk 9/530 | 2076 bars | ETA: 17h 49m 07s
